,estantevirtual,submarino,saraiva,livrariadavila,livrariascuritiba,travessa,livrariacultura,amazon,magazineluiza
66,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
67,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
68,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative']
69,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
70,['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative'],['negative']
71,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
72,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
73,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
74,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
75,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['positive'],['negative'],['negative']
76,['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
77,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative']
78,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
79,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
80,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
81,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
82,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
83,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
84,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
85,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative']
86,['negative'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
87,['negative'],['negative'],['positive'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
88,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative']
89,['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative'],['negative']
90,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
91,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
92,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
93,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
94,['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
